chembl_id,smiles
CHEMBL1263,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
CHEMBL1200326,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl
CHEMBL3182733,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O
CHEMBL344159,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
CHEMBL89598,C=CC(N)CCC(=O)O
CHEMBL1082607,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
CHEMBL1200804,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+]
CHEMBL384467,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CHEMBL1140,NC(=O)c1cccnc1
CHEMBL231779,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
CHEMBL21731,CNCCCC12CCC(c3ccccc31)c1ccccc12
CHEMBL1628385,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CCN(CC)CCOC(=O)c1ccc(N)cc1
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
CHEMBL2145077,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2.Cl
CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
CHEMBL3833389,C[C@@H](CC(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)N1CCOCC1
CHEMBL289469,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
CHEMBL1200826,O=C([O-])[O-].[Li+].[Li+]
CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1
CHEMBL4594214,CSCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC3=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O
CHEMBL1200735,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
CHEMBL4297212,Cl.NC(=O)OC[C@H](N)Cc1ccccc1
CHEMBL2103875,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1
CHEMBL3544985,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[n-]c2=O)cc1C(C)(C)C.O.[Na+]
CHEMBL530,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
CHEMBL691,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
CHEMBL431,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
CHEMBL1201799,C=CCN.ClCC1CO1.O=C(O)O
CHEMBL1201110,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21.Cl
CHEMBL1567,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O
CHEMBL871,CC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL1201147,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1
CHEMBL3301611,Nc1ccncc1N.O=P(O)(O)O
CHEMBL1201173,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
CHEMBL4594217,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.O
CHEMBL1255654,CCCCNc1ccc(C(=O)OCCN(C)C)cc1.Cl
CHEMBL188952,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1
CHEMBL121626,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
CHEMBL498,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
CHEMBL1436,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1
CHEMBL4216467,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21
CHEMBL2146133,COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.[Mg+2]
CHEMBL170988,N=C(N)NC(=N)NCCc1ccccc1
CHEMBL1200370,O=C(OOC(=O)c1ccccc1)c1ccccc1
CHEMBL1201740,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O
CHEMBL1200878,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
CHEMBL3137301,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O
CHEMBL428,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12
CHEMBL56564,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2
CHEMBL1607273,Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CHEMBL1265,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
CHEMBL1231,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
CHEMBL1200661,CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)OC(C)C
CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
CHEMBL1201234,CNC(C)(C)Cc1ccccc1
CHEMBL1329455,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
CHEMBL1689772,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O
CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CHEMBL578,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
CHEMBL517199,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
CHEMBL1083993,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl
CHEMBL1626223,CN1CCCN=C1/C=C/c1cccs1
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
CHEMBL1237055,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5.Cl
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
CHEMBL3707393,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1.O=P(O)(O)O
CHEMBL1214185,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
CHEMBL3707247,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N
CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CHEMBL3989856,O.O.O.O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Na+].[Na+]
CHEMBL1963683,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/C(F)(F)COc1ccccc1
CHEMBL3989843,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1
CHEMBL1201,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
CHEMBL1650559,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O
CHEMBL870,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL277522,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL1200562,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CHEMBL1165342,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32
CHEMBL2219536,COCCO[C@H]1[C@@H](O)[C@H](COP(=O)(O)S[C@H]2[C@H](COP(=O)(O)S[C@H]3[C@H](COP(=O)(O)S[C@H]4[C@H](COP(=O)(O)S[C@H]5[C@@H](OCCOC)[C@H](n6cnc7c(=O)[nH]c(N)nc76)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cc(C)c(N)nc6=O)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cc(C)c(=O)[nH]c6=O)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cc(C)c(=O)[nH]c6=O)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cc(C)c(N)nc6=O)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cnc7c(=O)[nH]c(N)nc76)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cc(C)c(=O)[nH]c6=O)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cc(C)c(N)nc6=O)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cc(C)c(=O)[nH]c6=O)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cnc7c(=O)[nH]c(N)nc76)O[C@@H]5COP(=O)(O)S[C@H]5C[C@H](n6cnc7c(N)ncnc76)O[C@@H]5COP(=O)(O)S[C@H]5[C@@H](OCCOC)[C@H](n6cc(C)c(N)nc6=O)O[C@@H]5COP(=O)(O)S[C@H]5[C@@H](OCCOC)[C@H](n6cc(C)c(=O)[nH]c6=O)O[C@@H]5COP(=O)(O)S[C@H]5[C@@H](OCCOC)[C@H](n6cc(C)c(N)nc6=O)O[C@@H]5COP(=O)(O)S[C@H]5[C@@H](OCCOC)[C@H](n6cc(C)c(N)nc6=O)O[C@@H]5COP(=O)(O)S[C@H]5[C@@H](OCCOC)[C@H](n6cnc7c(=O)[nH]c(N)nc76)O[C@@H]5CO)O[C@H](n5cc(C)c(N)nc5=O)[C@H]4OCCOC)O[C@H](n4cnc5c(N)ncnc54)[C@H]3OCCOC)O[C@H](n3cc(C)c(N)nc3=O)[C@H]2OCCOC)O[C@@H]1n1cc(C)c(N)nc1=O
CHEMBL243712,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
CHEMBL2448612,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21.CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21.O=C(O)C(O)C(O)C(=O)O
CHEMBL1201018,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1.O
CHEMBL615,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL1256137,Cl.NCCS
CHEMBL1200322,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21.O=C(O)C(=O)O
CHEMBL1051,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1
CHEMBL568,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
CHEMBL2403108,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1
CHEMBL296306,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
CHEMBL944,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl.Cl
CHEMBL196,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
CHEMBL1083385,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O
CHEMBL1200444,CC(=O)O.CC(C)(C)NCC(O)c1ccc(O)c(CO)n1
CHEMBL1491306,Oc1cc(Cc2ccccc2)nc(S)n1
CHEMBL932,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
CHEMBL3183184,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1
CHEMBL302795,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
CHEMBL218490,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL1201286,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
CHEMBL855,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
CHEMBL3301680,CCCCCCCCCCNCCN[C@@]1(C)C[C@H](O[C@H]2[C@H](Oc3c4cc5cc3Oc3ccc(cc3Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]5C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c5cc(O)c(CNCP(=O)(O)O)c(O)c5-c5cc3ccc5O)[C@H](O)c3ccc(c(Cl)c3)O4)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@@H](C)[C@H]1O.Cl
CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
