,molecule_chembl_id,IC50,units,smiles,pIC50
3287,CHEMBL3263380,120.0,nM,Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc4ccccc4c3)C2)cc1C,6.920818753952375
3288,CHEMBL425738,120.0,nM,CCOC(=O)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1,6.920818753952375
3289,CHEMBL196925,120.0,nM,CCOC(=O)c1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1CC,6.920818753952375
3290,CHEMBL1683964,120.0,nM,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CN2CCOCC2)cc1,6.920818753952375
3291,CHEMBL4286374,120.0,nM,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)c1ccc(C(F)(F)F)cc1O,6.920818753952375
3292,CHEMBL194958,120.0,nM,CCc1c(C(N)=O)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,6.920818753952375
3293,CHEMBL4069586,120.0,nM,C=CC(=O)N1CCC[C@@H](n2nc(C#CCC3CCCC3)c3c(N)ncnc32)C1,6.920818753952375
3294,CHEMBL3787132,120.0,nM,C=CC(=O)N1C[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@H](OC)C1,6.920818753952375
3295,CHEMBL2087352,120.0,nM,Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.920818753952375
3296,CHEMBL4634499,120.0,nM,O=C(/C=C/Cn1ccnc1)N1CCOc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3cc21,6.920818753952375
3297,CHEMBL376967,120.0,nM,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O,6.920818753952375
3298,CHEMBL495733,120.0,nM,CS(=O)(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,6.920818753952375
3299,CHEMBL343722,120.0,nM,C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.920818753952375
3300,CHEMBL4553504,120.2,nM,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(C)cc1F)C1=CC(=O)c2c(O)ccc(O)c2C1=O,6.92009553233328
3301,CHEMBL4456234,120.7,nM,C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3ccccc3)n2)c(OC)cc1N1CCN(C)CC1,6.918292729902651
3302,CHEMBL4635100,121.0,nM,O=C(/C=C/CN1CCCC1)N1CCOc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3cc21,6.91721462968355
3303,CHEMBL480348,121.0,nM,CCNCc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)[nH]1,6.91721462968355
3304,CHEMBL3753811,121.09,nM,O=C(Nc1nccs1)Nc1cc(-c2cccnc2)ccc1OC(F)(F)F,6.916891720805265
3305,CHEMBL3622630,121.1,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1O[C@H]1CCOC1,6.916855856856948
3306,CHEMBL5173449,122.0,nM,COc1ccc(-c2c(CN3CCOCC3)nc3scc(C(=O)NN)n23)cc1,6.913640169325252
3307,CHEMBL4780903,122.0,nM,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@H]5CCN(C(=O)OC(C)(C)C)C5)c4n3)cc2)CC1,6.913640169325252
3308,CHEMBL3933895,122.0,nM,CCOc1cc2ncnc(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,6.913640169325252
3309,CHEMBL4454745,122.0,nM,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCCl,6.913640169325252
3310,CHEMBL3297893,122.1,nM,Cc1nc(Nc2ccc(C(F)(F)F)cc2)c2cc(C)oc2n1,6.913284336055117
3311,CHEMBL4450061,123.2,nM,C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3ccc(OC)c(OC)c3)n2)c(OC)cc1N(C)CCN(C)C,6.909389292171594
3312,CHEMBL3233789,124.0,nM,CN1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,6.906578314837764
3313,CHEMBL4752492,124.0,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC(=O)CCCCC[N+]4=C(/C=C/C=C/C=C/C=C5/N(CCCC)c6ccc(OC)cc6C5(C)C)C(C)(C)c5cc(C(F)(F)F)ccc54)cc23)c1.[Br-],6.906578314837764
